project_id,repo_url,application_url,n_delivery_files,planned_fte,planned_duration_months,planned_cost_usd,planned_pm,team_size,sum_milestone_duration_months,n_milestone_fte_mentions,documented_pm_explicit,effort_phrases_raw,status,note
xcm-domain-service,https://github.com/azero-id/xcm-domain-service,github.com/w3f/Grants-Program/blob/master/applications/xcm-domain-service.md,2,1,2,30000,2.00,5,4.0,2,,2 month; 1 month; 1 month,OK,
xcm-sdk,https://github.com/blockcoders/xcm-sdk,github.com/w3f/Grants-Program/blob/master/applications/cross-chain-wallet.md,2,3,6,64000,18.00,3,12.0,4,,6 month; 2 month; 1 month; 2 month; 1 month,OK,
xcmsend,https://github.com/XcmSend/app-v0.0.1,github.com/w3f/Grants-Program/blob/master/applications/xcmsend.md,2,2,,30,,,1.84,0,,8 week; 4 week; 4 week,OK,
xcm-tools,https://github.com/gmajor-encrypt/xcm-tools,github.com/w3f/Grants-Program/blob/master/applications/xcm-tools-follow-up-2.md,3,1,,5000,,1,1.38,1,,3 Week; 3 week,OK,
xcm-tools-follow-up,https://github.com/gmajor-encrypt/xcm-tools,github.com/w3f/Grants-Program/blob/master/applications/xcm-tools-follow-up-2.md,2,1,,5000,,1,1.38,1,,3 Week; 3 week,OK,
xcnft,https://github.com/paraspell-research/xcnft-pallet,github.com/w3f/Grants-Program/blob/master/applications/xcNFT.md,2,1,6,30,6.00,3,12.0,2,,6 month; 6 month; 6 month; 4 month; 2 month,OK,
xNFT,https://github.com/antiers-solutions/xNFT,github.com/w3f/Grants-Program/blob/master/applications/xcNFT.md,1,1,6,30,6.00,3,12.0,2,,6 month; 6 month; 6 month; 4 month; 2 month,OK,
yatima,https://github.com/yatima-inc/yatima,github.com/w3f/Grants-Program/blob/master/applications/yatima.md,3,4,3,29999,12.00,6,5.76,3,,3 month; 3 week; 3 week; 6 week,OK,
yibanchen,https://github.com/YibanChen/yc-node,github.com/w3f/Grants-Program/blob/master/applications/yiban_chen1.md,2,2,,25000,,2,4.14,3,,9 week; 3 week; 3 week; 3 week,OK,
yieldscan_phase,https://github.com/yieldscan/yieldscan-frontend,github.com/w3f/Grants-Program/blob/master/applications/yieldscan_phase_2.md,1,3,1.5,20000,4.50,3,3.0,1,,1.5 month; 1.5 month,OK,
Zaturn_generic-attestable-oracle-parachain,https://github.com/Acurast/acurast-substrate,,1,,,,,,,0,,,OK,
zeeve_larch,https://github.com/Zeeve-App/larch,github.com/w3f/Grants-Program/blob/master/applications/ink-playground-ide-improvements.md,2,3,,24000,,3,,2,,,OK,
zenlink,https://github.com/zenlinkpro/whitepaper,github.com/w3f/Grants-Program/blob/master/applications/zenlink-smart-contract.md,1,4,,0,,5,0.92,1,,2 week; 2 week,OK,
zenlink_dex_smart_contract,https://github.com/zenlinkpro/whitepaper,github.com/w3f/Grants-Program/blob/master/applications/zenlink-smart-contract.md,1,4,,0,,5,0.92,1,,2 week; 2 week,OK,
ZeroDAO_Network-millestone,https://github.com/ZeroDAO/ZeroDAO-node,github.com/w3f/Grants-Program/blob/master/applications/ZeroDAO_Network.md,1,3.5,,15000,,2,3.22,1,,7 week; 7 week,OK,
zeropool-2-snjax,https://github.com/zeropoolnetwork/fawkes-crypto,github.com/w3f/Grants-Program/blob/master/applications/ZeroPool.md,1,3,4,63000,12.00,5,8.0,2,,4 month; 2 month; 2 month,OK,
zk-plonk,https://github.com/AstarNetwork/plonk,github.com/w3f/Grants-Program/blob/master/applications/zero-network.md,1,2,6.5,45000,13.00,2,13.0,3,,6.5 month; 2 month; 3 month; 1.5 month,OK,
zk-rollups,https://github.com/PlasmNetwork/ZKRollups,github.com/w3f/Grants-Program/blob/master/applications/zk-rollups.md,1,1,3,0,3.00,3,3.75,1,,3 month; 0.75 month,OK,
ZK-Snarks_with_Substrate_tutorial,https://github.com/bright/zk-snarks-with-substrate,,2,,,,,,,0,,,OK,
Zkverse,https://github.com/Zkvers/substrate-zk,github.com/w3f/Grants-Program/blob/master/applications/zkverse.md,1,1,2.5,24000,2.50,2,5.0,2,,2.5 month; 1 month; 1.5 month,OK,
zkwasm-rollups-transfer,https://github.com/KogarashiNetwork/Kogarashi,github.com/w3f/Grants-Program/blob/master/applications/zkwasm-rollups-transfer.md,2,2,5,20000,10.00,2,10.0,2,,5 month; 2 month; 3 month,OK,
